x,y,Clamping
95.382,25.264,0.0
95.352,25.239,0.0
95.365,25.222,0.0
95.443,25.327,0.0
95.482,25.296,0.0
95.5,25.29,0.0
95.488,25.26,0.0
95.426,25.257,0.0
95.355,25.173,0.0
95.414,25.161,0.0
95.382,25.208,0.0
95.339,25.252,0.0
95.668,25.411,0.0
95.552,25.309,0.0
95.542,25.314,0.0
95.518,25.313,0.0
95.507,25.304,0.0
95.503,25.314,0.0
95.494,25.319,0.0
95.484,25.327,0.0
95.438,25.292,0.0
95.543,25.344,0.0
95.554,25.362,0.0
95.548,25.369,0.0
95.542,25.377,0.0
95.521,25.378,0.0
95.508,25.379,0.0
95.495,25.351,0.0
95.495,25.363,0.0
95.507,25.294,0.0
95.494,25.292,0.0
95.482,25.297,0.0
95.47,25.3,0.0
95.448,25.287,0.0
95.445,25.275,0.0
95.434,25.266,0.0
95.69,25.492,0.0
95.7,25.49,0.0
95.656,25.513,0.0
95.649,25.533,0.0
95.378,25.103,0.0
95.375,25.206,0.0
95.4,25.221,0.0
95.405,25.249,0.0
95.445,25.283,0.0
95.565,25.303,0.0
95.659,25.3,0.0
95.491,25.321,0.0
95.524,25.313,0.0
95.652,25.315,0.0
95.458,25.368,0.0
95.499,25.374,0.0
95.537,25.378,0.0
95.507,25.305,0.0
95.505,25.303,0.0
95.486,25.327,0.0
95.426,25.3,0.0
95.551,25.353,0.0
95.529,25.35,0.0
95.47,25.299,0.0
95.46,25.291,0.0
95.447,25.286,0.0
95.445,25.274,0.0
95.469,25.275,0.0
95.494,25.268,0.0
95.4782632933168,25.6929813931409,0.0
95.7703032933168,25.6818703931409,0.0
95.7390132933168,25.6810573931409,0.0
95.7363312933168,25.6778053931409,0.0
95.5244532933168,25.6769923931409,0.0
95.6248792933168,25.6742823931409,0.0
95.7694092933168,25.6675073931409,0.0
95.6826912933168,25.6615453931409,0.0
95.5435252933168,25.6604613931409,0.0
95.6236872933168,25.6566673931409,0.0
95.6382892933168,25.6547703931409,0.0
95.8230492933168,25.6455563931409,0.0
95.5110432933168,25.6404073931409,0.0
95.5959732933168,25.6320063931409,0.0
95.5310092933168,25.6252313931409,0.0
95.8567232933168,25.6168303931409,0.0
95.6096812933168,25.6160173931409,0.0
95.6683872933168,25.6119523931409,0.0
95.5736232933168,25.6081583931409,0.0
95.4916732933168,25.6051773931409,0.0
95.8760932933168,25.5997573931409,0.0
95.8942712933168,25.5978603931409,0.0
95.6514012933168,25.5856653931409,0.0
95.8993372933168,25.5783483931409,0.0
95.7214312933168,25.5756383931409,0.0
95.5587232933168,25.5750963931409,0.0
95.9118532933168,25.5713023931409,0.0
95.7765612933168,25.5683213931409,0.0
95.7777532933168,25.5623593931409,0.0
95.8263272933168,25.5610043931409,0.0
95.7762632933168,25.5580233931409,0.0
95.4535292933168,25.5577523931409,0.0
95.8355652933168,25.5485383931409,0.0
95.4365432933168,25.5428473931409,0.0
95.8611932933168,25.5314653931409,0.0
95.7387152933168,25.5284843931409,0.0
95.8227512933168,25.5230643931409,0.0
95.8471872933168,25.5225223931409,0.0
95.7321592933168,25.5089723931409,0.0
95.7911632933168,25.5062623931409,0.0
95.4663432933168,25.4948803931409,0.0
95.6281572933168,25.4921703931409,0.0
95.7857992933168,25.4886473931409,0.0
95.5673652933168,25.4699483931409,0.0
95.5101492933168,25.4688643931409,0.0
95.6257732933168,25.4653413931409,0.0
95.7378212933168,25.4474553931409,0.0
95.5259432933168,25.4431193931409,0.0
95.4833292933168,25.4371573931409,0.0
95.7247092933168,25.4358023931409,0.0
95.4675352933168,25.4214393931409,0.0
95.4276032933168,25.4187293931409,0.0
95.5923972933168,25.4149353931409,0.0
95.6609372933168,25.3905453931409,0.0
95.7318612933168,25.3680523931409,0.0
95.7446752933168,25.3639873931409,0.0
95.7172592933168,25.3588383931409,0.0
95.6031252933168,25.3355323931409,0.0
95.6031252933168,25.3290283931409,0.0
95.4815412933168,25.3238793931409,0.0
95.3930352933168,25.3195433931409,0.0
95.4323712933168,25.3149363931409,0.0
95.6010392933168,25.3111423931409,0.0
95.6308392933168,25.3108713931409,0.0
95.6531892933168,25.3097873931409,0.0
95.4356492933168,25.3084323931409,0.0
95.4574032933168,25.3068063931409,0.0
95.5685572933168,25.3000313931409,0.0
95.4931632933168,25.2975923931409,0.0
95.5035932933168,25.2919013931409,0.0
95.3033372933168,25.2900043931409,0.0
95.5628952933168,25.2875653931409,0.0
95.6487192933168,25.2835003931409,0.0
95.4279012933168,25.2780803931409,0.0
95.6457392933168,25.2732023931409,0.0
95.3084032933168,25.2672403931409,0.0
95.4663432933168,25.2569423931409,0.0
95.3441632933168,25.2523353931409,0.0
95.4600852933168,25.2490833931409,0.0
95.5366712933168,25.2466443931409,0.0
95.3706852933168,25.2395983931409,0.0
95.3131712933168,25.2314683931409,0.0
95.5280292933168,25.2274033931409,0.0
95.5059772933168,25.2268613931409,0.0
95.2786032933168,25.2233383931409,0.0
95.2628092933168,25.2195443931409,0.0
95.2803912933168,25.2078913931409,0.0
95.3623412933168,25.2032843931409,0.0
95.5491872933168,25.2011163931409,0.0
95.2949932933168,25.2005743931409,0.0
95.5202812933168,25.1935283931409,0.0
95.5211752933168,25.1935283931409,0.0
95.4323712933168,25.1919023931409,0.0
95.4723032933168,25.1761843931409,0.0
95.4097232933168,25.1753713931409,0.0
95.3888632933168,25.1588403931409,0.0
95.3000592933168,25.1555883931409,0.0
95.3286672933168,25.1181903931409,0.0
95.3426732933168,25.1092473931409,0.0
95.3319452933168,25.0978653931409,0.0
